執行時間,模式,模型類型,外生變數,訓練區間,預測天數,order,seasonal_order,耗時秒數,MAPE,R-squared,樣本數 N,耗時秒數(秒),平均預測誤差(%)
2025-07-02 11:03:12.987147,專家模式,SARIMAX,"特殊節日,大型活動,颱風假",2024-01-01 ~ 2025-05-01,16,"(3, 1, 0)","(1, 0, 1, 7)",5.52,4.23,0.592,16,,
2025-07-02 11:05:48.602493,專家模式,SARIMAX,"特殊節日,大型活動,颱風假",2024-01-01 ~ 2025-04-30,7,"(5, 1, 0)","(1, 0, 1, 7)",6.59,3.66,0.7392,7,,
2025-07-02 11:07:47.104995,專家模式,SARIMAX,"特殊節日,大型活動,颱風假",2024-01-01 ~ 2025-04-30,7,"(5, 1, 0)","(1, 0, 1, 7)",,,0.7392,7,6.74,3.66
2025-07-02 11:08:06.284421,專家模式,SARIMAX,"特殊節日,大型活動,颱風假",2024-01-01 ~ 2025-04-30,7,"(5, 1, 0)","(1, 0, 1, 7)",,,0.7392,7,6.53,3.66
2025-07-02 11:09:14.460586,專家模式,SARIMAX,"特殊節日,大型活動,颱風假",2024-01-01 ~ 2025-04-30,7,"(5, 1, 0)","(1, 0, 1, 7)",6.46,3.66,0.7392,7,,
2025-07-02 11:09:32.642209,專家模式,SARIMAX,"特殊節日,大型活動,颱風假",2024-01-01 ~ 2025-04-30,7,"(5, 1, 0)","(1, 0, 1, 7)",6.36,3.66,0.7392,7,,
2025-07-02 11:22:07.767135,專家模式,SARIMAX,"特殊節日,大型活動,颱風假",2024-01-01 ~ 2025-04-30,7,"(5, 1, 0)","(1, 0, 1, 7)",8.01,3.66,0.7392,7,,
2025-07-02 11:26:47.921595,專家模式,SARIMAX,"特殊節日,大型活動,颱風假",2024-01-01 ~ 2025-04-30,7,"(5, 1, 0)","(1, 0, 1, 7)",6.94,3.66,0.7392,7,,
2025-07-02 11:27:02.238009,專家模式,SARIMAX,"特殊節日,大型活動,颱風假",2024-01-01 ~ 2025-04-30,7,"(5, 1, 0)","(1, 0, 1, 7)",7.12,3.66,0.7392,7,,
2025-07-02 11:30:41.878063,專家模式,SARIMAX,無,2024-01-01 ~ 2025-04-30,16,"(5, 1, 0)","(1, 0, 1, 7)",7.0,4.55,0.5747,16,,
2025-07-02 11:30:55.138683,專家模式,SARIMAX,無,2024-01-01 ~ 2025-04-30,16,"(5, 1, 0)","(1, 0, 1, 7)",6.67,4.55,0.5747,16,,
2025-07-02 11:42:30.092017,專家模式,SARIMAX,"特殊節日,大型活動,颱風假",2025-01-01 ~ 2025-06-01,7,"(2, 0, 3)","(1, 0, 1, 7)",10.99,78.92,-94.9802,7,,
2025-07-02 11:44:18.226149,專家模式,SARIMAX,"特殊節日,大型活動,颱風假",2025-01-01 ~ 2025-06-01,7,"(2, 0, 3)","(1, 0, 1, 7)",10.57,78.92,-94.9802,7,,
2025-07-02 11:45:25.502970,專家模式,SARIMAX,"特殊節日,大型活動,颱風假",2025-01-01 ~ 2025-06-01,7,"(2, 0, 3)","(1, 0, 1, 7)",11.59,78.92,-94.9802,7,,
2025-07-02 11:52:36.223243,專家模式,SARIMAX,"特殊節日,大型活動,颱風假",2025-01-01 ~ 2025-06-01,7,"(2, 0, 3)","(1, 0, 1, 7)",13.69,78.92,-94.9802,7,,
2025-07-02 11:53:09.252118,專家模式,SARIMAX,"特殊節日,大型活動,颱風假",2025-01-01 ~ 2025-06-01,7,"(2, 0, 3)","(1, 0, 1, 7)",11.22,78.92,-94.9802,7,,
2025-07-02 11:53:57.688049,專家模式,SARIMAX,"特殊節日,大型活動,颱風假",2025-01-01 ~ 2025-06-01,7,"(2, 0, 3)","(1, 0, 1, 7)",11.22,78.92,-94.9802,7,,
2025-07-02 13:24:00.211930,專家模式,SARIMAX,"特殊節日,大型活動,颱風假",2024-01-01 ~ 2025-06-01,7,"(5, 1, 1)","(1, 0, 1, 7)",18.27,9.15,-1.3357,7,,
2025-07-02 13:24:33.462604,專家模式,SARIMAX,"特殊節日,大型活動,颱風假",2024-01-01 ~ 2025-06-01,7,"(5, 1, 1)","(1, 0, 1, 7)",11.72,9.15,-1.3357,7,,
2025-07-02 13:33:55.101870,專家模式,SARIMAX,"特殊節日,大型活動,颱風假",2025-01-01 ~ 2025-06-01,7,"(2, 0, 3)","(1, 0, 1, 7)",10.75,78.92,-94.9802,7,,
2025-07-02 13:34:10.934597,專家模式,SARIMAX,"特殊節日,大型活動,颱風假",2025-01-01 ~ 2025-06-01,7,"(2, 0, 3)","(1, 0, 1, 7)",10.52,78.92,-94.9802,7,,
2025-07-02 13:34:31.254126,專家模式,SARIMAX,"特殊節日,大型活動,颱風假",2025-01-01 ~ 2025-06-01,7,"(2, 0, 3)","(1, 0, 1, 7)",10.46,78.92,-94.9802,7,,
